"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0140098","catalytic activity, acting on RNA",372,0.449801660950094,2.11437386600093,1e-10,4.37666666666667e-08,3.03508771929825e-08,4631,"tags=35%, list=16%, signal=30%","ENSG00000111641/ENSG00000150990/ENSG00000146834/ENSG00000204351/ENSG00000110619/ENSG00000182810/ENSG00000247626/ENSG00000215301/ENSG00000106105/ENSG00000122643/ENSG00000179988/ENSG00000132773/ENSG00000083520/ENSG00000064703/ENSG00000172183/ENSG00000136932/ENSG00000125630/ENSG00000168806/ENSG00000165732/ENSG00000172123/ENSG00000120705/ENSG00000178607/ENSG00000127804/ENSG00000185163/ENSG00000037897/ENSG00000113407/ENSG00000005007/ENSG00000137574/ENSG00000171453/ENSG00000169718/ENSG00000125485/ENSG00000145388/ENSG00000005100/ENSG00000132664/ENSG00000151014/ENSG00000031698/ENSG00000198231/ENSG00000171865/ENSG00000177192/ENSG00000086189/ENSG00000146282/ENSG00000134698/ENSG00000122687/ENSG00000166166/ENSG00000130305/ENSG00000169972/ENSG00000090861/ENSG00000141994/ENSG00000168872/ENSG00000241258/ENSG00000037474/ENSG00000166199/ENSG00000186141/ENSG00000006744/ENSG00000163684/ENSG00000162851/ENSG00000143319/ENSG00000123908/ENSG00000204394/ENSG00000145907/ENSG00000204348/ENSG00000174840/ENSG00000134815/ENSG00000101452/ENSG00000088205/ENSG00000111364/ENSG00000137996/ENSG00000139131/ENSG00000278053/ENSG00000071462/ENSG00000165526/ENSG00000138231/ENSG00000109606/ENSG00000083223/ENSG00000151576/ENSG00000108654/ENSG00000100413/ENSG00000174953/ENSG00000124228/ENSG00000136271/ENSG00000255561/ENSG00000198791/ENSG00000196305/ENSG00000140829/ENSG00000104626/ENSG00000172336/ENSG00000185418/ENSG00000100441/ENSG00000166986/ENSG00000132153/ENSG00000067596/ENSG00000133641/ENSG00000099821/ENSG00000162971/ENSG00000007520/ENSG00000114127/ENSG00000198585/ENSG00000180917/ENSG00000183665/ENSG00000155275/ENSG00000130764/ENSG00000059588/ENSG00000156502/ENSG00000223705/ENSG00000138050/ENSG00000204560/ENSG00000130589/ENSG00000091127/ENSG00000105258/ENSG00000170445/ENSG00000117481/ENSG00000067248/ENSG00000144028/ENSG00000108592/ENSG00000100220/ENSG00000102921/ENSG00000123064/ENSG00000181222/ENSG00000197157/ENSG00000111405/ENSG00000103707/ENSG00000047315/ENSG00000111596/ENSG00000121964/ENSG00000257218/ENSG00000241370/ENSG00000154743/ENSG00000134684/ENSG00000068654/ENSG00000119203/ENSG00000174173/ENSG00000072756"
"GO:0008017","microtubule binding",271,-0.47740808668586,-2.0854330915145,1e-10,4.37666666666667e-08,3.03508771929825e-08,4499,"tags=32%, list=16%, signal=28%","ENSG00000142655/ENSG00000165698/ENSG00000101367/ENSG00000183137/ENSG00000157601/ENSG00000160401/ENSG00000166974/ENSG00000147601/ENSG00000072864/ENSG00000165115/ENSG00000176049/ENSG00000171533/ENSG00000001631/ENSG00000143494/ENSG00000119878/ENSG00000139116/ENSG00000092036/ENSG00000188659/ENSG00000077274/ENSG00000137497/ENSG00000147400/ENSG00000170959/ENSG00000111640/ENSG00000105270/ENSG00000158560/ENSG00000166037/ENSG00000092820/ENSG00000124074/ENSG00000174799/ENSG00000189350/ENSG00000104983/ENSG00000139354/ENSG00000102081/ENSG00000084764/ENSG00000101447/ENSG00000170390/ENSG00000186973/ENSG00000138175/ENSG00000183486/ENSG00000164627/ENSG00000104419/ENSG00000152409/ENSG00000170264/ENSG00000151914/ENSG00000105255/ENSG00000102781/ENSG00000115355/ENSG00000186638/ENSG00000079616/ENSG00000167216/ENSG00000077279/ENSG00000164118/ENSG00000182628/ENSG00000134222/ENSG00000155980/ENSG00000066629/ENSG00000175216/ENSG00000166851/ENSG00000153140/ENSG00000143228/ENSG00000137807/ENSG00000186185/ENSG00000154839/ENSG00000121621/ENSG00000137812/ENSG00000161888/ENSG00000128944/ENSG00000078018/ENSG00000165480/ENSG00000089685/ENSG00000076382/ENSG00000163808/ENSG00000198901/ENSG00000112984/ENSG00000142945/ENSG00000138160/ENSG00000138182/ENSG00000161800/ENSG00000131711/ENSG00000237649/ENSG00000075218/ENSG00000118193/ENSG00000137804/ENSG00000090889/ENSG00000138778/ENSG00000126787/ENSG00000117724/ENSG00000080986"
"GO:0015631","tubulin binding",377,-0.432227139451353,-1.95224538780638,1e-10,4.37666666666667e-08,3.03508771929825e-08,4499,"tags=31%, list=16%, signal=26%","ENSG00000142655/ENSG00000165698/ENSG00000101367/ENSG00000183137/ENSG00000139112/ENSG00000157601/ENSG00000160401/ENSG00000166974/ENSG00000147601/ENSG00000072864/ENSG00000165115/ENSG00000176049/ENSG00000171533/ENSG00000001631/ENSG00000146856/ENSG00000143494/ENSG00000119878/ENSG00000139116/ENSG00000292372/ENSG00000092036/ENSG00000188659/ENSG00000077274/ENSG00000137497/ENSG00000114107/ENSG00000100271/ENSG00000147400/ENSG00000156531/ENSG00000096093/ENSG00000170959/ENSG00000184588/ENSG00000111640/ENSG00000141556/ENSG00000108055/ENSG00000105270/ENSG00000158560/ENSG00000166037/ENSG00000092820/ENSG00000124074/ENSG00000174799/ENSG00000189350/ENSG00000104983/ENSG00000139354/ENSG00000102081/ENSG00000139350/ENSG00000197457/ENSG00000084764/ENSG00000101447/ENSG00000119685/ENSG00000151849/ENSG00000170390/ENSG00000186973/ENSG00000135912/ENSG00000138175/ENSG00000179636/ENSG00000183486/ENSG00000139618/ENSG00000164627/ENSG00000104419/ENSG00000152409/ENSG00000170264/ENSG00000151914/ENSG00000182636/ENSG00000188042/ENSG00000105255/ENSG00000137941/ENSG00000102781/ENSG00000115355/ENSG00000096872/ENSG00000186638/ENSG00000079616/ENSG00000167216/ENSG00000077279/ENSG00000164118/ENSG00000182628/ENSG00000134222/ENSG00000182168/ENSG00000155980/ENSG00000066629/ENSG00000175216/ENSG00000012048/ENSG00000166851/ENSG00000153140/ENSG00000143228/ENSG00000137807/ENSG00000186185/ENSG00000117632/ENSG00000154839/ENSG00000121621/ENSG00000011454/ENSG00000137812/ENSG00000122970/ENSG00000152661/ENSG00000161888/ENSG00000145335/ENSG00000128944/ENSG00000078018/ENSG00000165480/ENSG00000089685/ENSG00000076382/ENSG00000163808/ENSG00000198901/ENSG00000112984/ENSG00000142945/ENSG00000138160/ENSG00000138182/ENSG00000161800/ENSG00000131711/ENSG00000237649/ENSG00000075218/ENSG00000118193/ENSG00000137804/ENSG00000090889/ENSG00000138778/ENSG00000126787/ENSG00000117724/ENSG00000080986"
"GO:0003735","structural constituent of ribosome",160,0.507987056938209,2.18327914947193,8.6016790523026e-10,2.82350114891833e-07,1.95801378427415e-07,4962,"tags=49%, list=17%, signal=41%","ENSG00000274917/ENSG00000265681/ENSG00000114391/ENSG00000182899/ENSG00000149806/ENSG00000231500/ENSG00000183617/ENSG00000161970/ENSG00000145425/ENSG00000171863/ENSG00000109475/ENSG00000188846/ENSG00000145592/ENSG00000167526/ENSG00000130255/ENSG00000174444/ENSG00000142937/ENSG00000122406/ENSG00000089009/ENSG00000241343/ENSG00000186468/ENSG00000144713/ENSG00000182774/ENSG00000147403/ENSG00000134419/ENSG00000106591/ENSG00000100316/ENSG00000131469/ENSG00000063177/ENSG00000105193/ENSG00000071082/ENSG00000242485/ENSG00000172809/ENSG00000138326/ENSG00000105364/ENSG00000198034/ENSG00000083845/ENSG00000147604/ENSG00000125691/ENSG00000118181/ENSG00000161016/ENSG00000197728/ENSG00000170889/ENSG00000198242/ENSG00000148303/ENSG00000149792/ENSG00000197958/ENSG00000162244/ENSG00000198755/ENSG00000229117/ENSG00000177954/ENSG00000142676/ENSG00000143947/ENSG00000198918/ENSG00000177600/ENSG00000156482/ENSG00000108298/ENSG00000149273/ENSG00000140988/ENSG00000124614/ENSG00000112306/ENSG00000166441/ENSG00000136942/ENSG00000089157/ENSG00000105640/ENSG00000125445/ENSG00000197756/ENSG00000239789/ENSG00000213741/ENSG00000213553/ENSG00000122026/ENSG00000171858/ENSG00000165502/ENSG00000164587/ENSG00000110700/ENSG00000137818/ENSG00000233927/ENSG00000116251"
"GO:0005201","extracellular matrix structural constituent",147,-0.51785514001952,-2.11288124919823,5.31681751895987e-09,1.39619628047886e-06,9.68220453452693e-07,4208,"tags=35%, list=15%, signal=30%","ENSG00000132205/ENSG00000188153/ENSG00000142871/ENSG00000081148/ENSG00000140092/ENSG00000164283/ENSG00000154175/ENSG00000080573/ENSG00000178522/ENSG00000053747/ENSG00000117122/ENSG00000142910/ENSG00000204291/ENSG00000173269/ENSG00000115380/ENSG00000122176/ENSG00000011465/ENSG00000124749/ENSG00000113140/ENSG00000168743/ENSG00000106333/ENSG00000112706/ENSG00000119681/ENSG00000197565/ENSG00000101680/ENSG00000166482/ENSG00000164692/ENSG00000164932/ENSG00000049089/ENSG00000144810/ENSG00000065618/ENSG00000049540/ENSG00000196878/ENSG00000188783/ENSG00000196569/ENSG00000127951/ENSG00000204248/ENSG00000152377/ENSG00000183798/ENSG00000133048/ENSG00000112280/ENSG00000206384/ENSG00000204262/ENSG00000188372/ENSG00000135862/ENSG00000187955/ENSG00000262655/ENSG00000132561/ENSG00000138722/ENSG00000139219/ENSG00000060718/ENSG00000169436"
"GO:0019843","rRNA binding",64,0.633502852480694,2.33460621133837,1.42692873774453e-08,3.12259572109762e-06,2.16542694412109e-06,4953,"tags=56%, list=17%, signal=47%","ENSG00000182810/ENSG00000179041/ENSG00000147679/ENSG00000128311/ENSG00000165732/ENSG00000126524/ENSG00000117597/ENSG00000177971/ENSG00000231500/ENSG00000130810/ENSG00000145592/ENSG00000122406/ENSG00000242485/ENSG00000136718/ENSG00000198034/ENSG00000165526/ENSG00000083845/ENSG00000125691/ENSG00000161016/ENSG00000170889/ENSG00000198242/ENSG00000135679/ENSG00000197958/ENSG00000104626/ENSG00000142676/ENSG00000149273/ENSG00000105373/ENSG00000089157/ENSG00000117481/ENSG00000125445/ENSG00000239789/ENSG00000215251/ENSG00000122034/ENSG00000213553/ENSG00000110700/ENSG00000113460"
"GO:0019787","ubiquitin-like protein transferase activity",441,0.356001183800764,1.70302372840867,7.7292485939542e-08,1.4497862005517e-05,1.00538346372487e-05,4555,"tags=30%, list=16%, signal=26%","ENSG00000290376/ENSG00000198833/ENSG00000198742/ENSG00000127481/ENSG00000110395/ENSG00000127870/ENSG00000180628/ENSG00000239305/ENSG00000234127/ENSG00000104228/ENSG00000163481/ENSG00000092098/ENSG00000011275/ENSG00000087448/ENSG00000181852/ENSG00000042429/ENSG00000110906/ENSG00000104142/ENSG00000135870/ENSG00000085978/ENSG00000090432/ENSG00000167962/ENSG00000109046/ENSG00000204713/ENSG00000145495/ENSG00000063978/ENSG00000159479/ENSG00000068024/ENSG00000154710/ENSG00000204599/ENSG00000126107/ENSG00000173821/ENSG00000154447/ENSG00000086102/ENSG00000186660/ENSG00000072609/ENSG00000174579/ENSG00000183439/ENSG00000116525/ENSG00000061273/ENSG00000185019/ENSG00000196470/ENSG00000105879/ENSG00000147133/ENSG00000127580/ENSG00000182670/ENSG00000174943/ENSG00000009335/ENSG00000174989/ENSG00000100814/ENSG00000171206/ENSG00000185619/ENSG00000177479/ENSG00000160714/ENSG00000133997/ENSG00000138942/ENSG00000182325/ENSG00000103266/ENSG00000075975/ENSG00000076685/ENSG00000168159/ENSG00000118503/ENSG00000099999/ENSG00000112200/ENSG00000184182/ENSG00000175104/ENSG00000289720/ENSG00000197579/ENSG00000139842/ENSG00000170604/ENSG00000198642/ENSG00000065802/ENSG00000089234/ENSG00000154370/ENSG00000118496/ENSG00000070423/ENSG00000125686/ENSG00000118564/ENSG00000141569/ENSG00000198373/ENSG00000078967/ENSG00000197329/ENSG00000160695/ENSG00000132481/ENSG00000159461/ENSG00000135679/ENSG00000146833/ENSG00000077721/ENSG00000109079/ENSG00000197530/ENSG00000162298/ENSG00000145916/ENSG00000180233/ENSG00000157450/ENSG00000198625/ENSG00000101752/ENSG00000124257/ENSG00000141582/ENSG00000189050/ENSG00000170633/ENSG00000100023/ENSG00000172175/ENSG00000072401/ENSG00000160087/ENSG00000110315/ENSG00000146373/ENSG00000103275/ENSG00000168116/ENSG00000005812/ENSG00000157911/ENSG00000110107/ENSG00000130726/ENSG00000186187/ENSG00000108395/ENSG00000128482/ENSG00000080802/ENSG00000163961/ENSG00000078747/ENSG00000174516/ENSG00000134086/ENSG00000123091/ENSG00000166439/ENSG00000198961/ENSG00000024048/ENSG00000131263/ENSG00000049167/ENSG00000181788/ENSG00000254585/ENSG00000130772/ENSG00000130725/ENSG00000108854/ENSG00000100505/ENSG00000116514"
"GO:0030515","snoRNA binding",32,0.738862531737428,2.37774936800995,1.06525993318904e-07,1.55998680502817e-05,1.08180429418316e-05,4102,"tags=72%, list=14%, signal=62%","ENSG00000150990/ENSG00000130826/ENSG00000172183/ENSG00000112578/ENSG00000165732/ENSG00000143751/ENSG00000117597/ENSG00000177971/ENSG00000109534/ENSG00000065183/ENSG00000114767/ENSG00000168101/ENSG00000101361/ENSG00000083635/ENSG00000136718/ENSG00000183751/ENSG00000087269/ENSG00000198585/ENSG00000108651/ENSG00000167721/ENSG00000165609/ENSG00000119285/ENSG00000055044"
"GO:0016755","aminoacyltransferase activity",455,0.353261118906361,1.69994487263103,1.06929788615792e-07,1.55998680502817e-05,1.08180429418316e-05,4555,"tags=30%, list=16%, signal=25%","ENSG00000290376/ENSG00000198833/ENSG00000198742/ENSG00000127481/ENSG00000110395/ENSG00000127870/ENSG00000180628/ENSG00000239305/ENSG00000234127/ENSG00000104228/ENSG00000163481/ENSG00000092098/ENSG00000011275/ENSG00000087448/ENSG00000181852/ENSG00000042429/ENSG00000110906/ENSG00000104142/ENSG00000135870/ENSG00000085978/ENSG00000090432/ENSG00000167962/ENSG00000109046/ENSG00000204713/ENSG00000145495/ENSG00000125780/ENSG00000063978/ENSG00000159479/ENSG00000068024/ENSG00000154710/ENSG00000204599/ENSG00000126107/ENSG00000173821/ENSG00000154447/ENSG00000086102/ENSG00000186660/ENSG00000072609/ENSG00000174579/ENSG00000183439/ENSG00000116525/ENSG00000061273/ENSG00000185019/ENSG00000196470/ENSG00000105879/ENSG00000147133/ENSG00000127580/ENSG00000182670/ENSG00000174943/ENSG00000009335/ENSG00000174989/ENSG00000100814/ENSG00000171206/ENSG00000185619/ENSG00000177479/ENSG00000160714/ENSG00000133997/ENSG00000138942/ENSG00000182325/ENSG00000103266/ENSG00000075975/ENSG00000076685/ENSG00000168159/ENSG00000118503/ENSG00000099999/ENSG00000112200/ENSG00000184182/ENSG00000175104/ENSG00000289720/ENSG00000197579/ENSG00000139842/ENSG00000170604/ENSG00000198642/ENSG00000065802/ENSG00000089234/ENSG00000154370/ENSG00000118496/ENSG00000070423/ENSG00000125686/ENSG00000118564/ENSG00000141569/ENSG00000198373/ENSG00000078967/ENSG00000197329/ENSG00000160695/ENSG00000132481/ENSG00000159461/ENSG00000135679/ENSG00000146833/ENSG00000077721/ENSG00000109079/ENSG00000197530/ENSG00000162298/ENSG00000145916/ENSG00000180233/ENSG00000157450/ENSG00000198625/ENSG00000101752/ENSG00000124257/ENSG00000141582/ENSG00000198959/ENSG00000189050/ENSG00000170633/ENSG00000100023/ENSG00000172175/ENSG00000072401/ENSG00000160087/ENSG00000110315/ENSG00000146373/ENSG00000103275/ENSG00000168116/ENSG00000005812/ENSG00000157911/ENSG00000110107/ENSG00000130726/ENSG00000186187/ENSG00000108395/ENSG00000128482/ENSG00000080802/ENSG00000163961/ENSG00000078747/ENSG00000174516/ENSG00000134086/ENSG00000123091/ENSG00000166439/ENSG00000198961/ENSG00000024048/ENSG00000131263/ENSG00000049167/ENSG00000181788/ENSG00000254585/ENSG00000130772/ENSG00000130725/ENSG00000108854/ENSG00000100505/ENSG00000116514"
"GO:0035591","signaling adaptor activity",123,0.494875261859967,2.05121224978112,4.18324940800174e-07,5.49260647270628e-05,3.80895867149632e-05,5919,"tags=43%, list=21%, signal=34%","ENSG00000151208/ENSG00000215301/ENSG00000137275/ENSG00000160219/ENSG00000165527/ENSG00000166225/ENSG00000100065/ENSG00000134070/ENSG00000274211/ENSG00000160691/ENSG00000168040/ENSG00000170677/ENSG00000167193/ENSG00000170776/ENSG00000154447/ENSG00000145675/ENSG00000140575/ENSG00000095637/ENSG00000111252/ENSG00000126934/ENSG00000113645/ENSG00000269335/ENSG00000008294/ENSG00000104312/ENSG00000175104/ENSG00000158480/ENSG00000204628/ENSG00000107338/ENSG00000180900/ENSG00000162711/ENSG00000136848/ENSG00000143575/ENSG00000076604/ENSG00000091592/ENSG00000187796/ENSG00000179295/ENSG00000172936/ENSG00000103126/ENSG00000169047/ENSG00000121653/ENSG00000136717/ENSG00000160570/ENSG00000151718/ENSG00000162105/ENSG00000131323/ENSG00000102871/ENSG00000169032/ENSG00000184584/ENSG00000071051/ENSG00000158985/ENSG00000138757/ENSG00000047644/ENSG00000137218"
"GO:0004842","ubiquitin-protein transferase activity",410,0.355116341085191,1.68476442220534,4.97312851007447e-07,5.93610703066161e-05,4.11651307293245e-05,4555,"tags=30%, list=16%, signal=26%","ENSG00000290376/ENSG00000198833/ENSG00000198742/ENSG00000127481/ENSG00000110395/ENSG00000127870/ENSG00000180628/ENSG00000239305/ENSG00000234127/ENSG00000104228/ENSG00000163481/ENSG00000092098/ENSG00000011275/ENSG00000087448/ENSG00000181852/ENSG00000042429/ENSG00000110906/ENSG00000104142/ENSG00000135870/ENSG00000090432/ENSG00000167962/ENSG00000109046/ENSG00000204713/ENSG00000145495/ENSG00000063978/ENSG00000159479/ENSG00000154710/ENSG00000204599/ENSG00000126107/ENSG00000173821/ENSG00000154447/ENSG00000086102/ENSG00000186660/ENSG00000072609/ENSG00000174579/ENSG00000183439/ENSG00000116525/ENSG00000185019/ENSG00000196470/ENSG00000105879/ENSG00000147133/ENSG00000127580/ENSG00000182670/ENSG00000174943/ENSG00000009335/ENSG00000174989/ENSG00000100814/ENSG00000171206/ENSG00000185619/ENSG00000177479/ENSG00000160714/ENSG00000133997/ENSG00000138942/ENSG00000182325/ENSG00000103266/ENSG00000075975/ENSG00000076685/ENSG00000168159/ENSG00000118503/ENSG00000099999/ENSG00000175104/ENSG00000289720/ENSG00000197579/ENSG00000139842/ENSG00000170604/ENSG00000198642/ENSG00000065802/ENSG00000089234/ENSG00000154370/ENSG00000118496/ENSG00000070423/ENSG00000125686/ENSG00000118564/ENSG00000141569/ENSG00000198373/ENSG00000078967/ENSG00000197329/ENSG00000160695/ENSG00000132481/ENSG00000159461/ENSG00000135679/ENSG00000146833/ENSG00000077721/ENSG00000109079/ENSG00000197530/ENSG00000162298/ENSG00000145916/ENSG00000180233/ENSG00000157450/ENSG00000198625/ENSG00000101752/ENSG00000124257/ENSG00000189050/ENSG00000170633/ENSG00000100023/ENSG00000172175/ENSG00000072401/ENSG00000160087/ENSG00000110315/ENSG00000146373/ENSG00000005812/ENSG00000157911/ENSG00000110107/ENSG00000130726/ENSG00000186187/ENSG00000108395/ENSG00000128482/ENSG00000080802/ENSG00000163961/ENSG00000078747/ENSG00000174516/ENSG00000134086/ENSG00000123091/ENSG00000166439/ENSG00000198961/ENSG00000024048/ENSG00000131263/ENSG00000049167/ENSG00000181788/ENSG00000254585/ENSG00000130772/ENSG00000130725/ENSG00000108854/ENSG00000100505/ENSG00000116514"
"GO:0051020","GTPase binding",313,0.377047300421153,1.74768278607863,6.64381755539709e-07,7.26944370853032e-05,5.04114226791095e-05,5811,"tags=37%, list=20%, signal=30%","ENSG00000179562/ENSG00000073921/ENSG00000138073/ENSG00000156232/ENSG00000163171/ENSG00000142168/ENSG00000197879/ENSG00000100083/ENSG00000116903/ENSG00000181852/ENSG00000100139/ENSG00000116701/ENSG00000273749/ENSG00000169629/ENSG00000100949/ENSG00000185043/ENSG00000085978/ENSG00000196497/ENSG00000143093/ENSG00000117016/ENSG00000166189/ENSG00000184575/ENSG00000173327/ENSG00000064300/ENSG00000107021/ENSG00000128283/ENSG00000154710/ENSG00000167657/ENSG00000180370/ENSG00000099331/ENSG00000170776/ENSG00000132254/ENSG00000197622/ENSG00000198752/ENSG00000027075/ENSG00000060138/ENSG00000105063/ENSG00000130396/ENSG00000174943/ENSG00000140575/ENSG00000100401/ENSG00000131381/ENSG00000107036/ENSG00000125447/ENSG00000147251/ENSG00000157927/ENSG00000135956/ENSG00000180263/ENSG00000125875/ENSG00000170011/ENSG00000161202/ENSG00000164877/ENSG00000152689/ENSG00000166747/ENSG00000066455/ENSG00000196924/ENSG00000110047/ENSG00000126581/ENSG00000132661/ENSG00000197872/ENSG00000196305/ENSG00000139436/ENSG00000167705/ENSG00000109079/ENSG00000124571/ENSG00000137955/ENSG00000130147/ENSG00000165283/ENSG00000126822/ENSG00000175220/ENSG00000134318/ENSG00000169180/ENSG00000090924/ENSG00000170456/ENSG00000131725/ENSG00000107560/ENSG00000110497/ENSG00000065150/ENSG00000136717/ENSG00000188026/ENSG00000130762/ENSG00000123143/ENSG00000109113/ENSG00000116954/ENSG00000165219/ENSG00000254999/ENSG00000142459/ENSG00000139132/ENSG00000052723/ENSG00000151746/ENSG00000031823/ENSG00000136628/ENSG00000149357/ENSG00000015568/ENSG00000161791/ENSG00000150977/ENSG00000130733/ENSG00000003393/ENSG00000007952/ENSG00000105404/ENSG00000154783/ENSG00000015520/ENSG00000205339/ENSG00000165813/ENSG00000122126/ENSG00000205517/ENSG00000185963/ENSG00000131504/ENSG00000158985/ENSG00000111348/ENSG00000063176/ENSG00000099901/ENSG00000087470/ENSG00000135631/ENSG00000149798"
"GO:0003724","RNA helicase activity",73,0.566551356200753,2.13979888219619,9.56379495503708e-07,9.52461673424536e-05,6.60503745951195e-05,3892,"tags=44%, list=14%, signal=38%","ENSG00000150990/ENSG00000204351/ENSG00000182810/ENSG00000215301/ENSG00000064703/ENSG00000165732/ENSG00000185163/ENSG00000005007/ENSG00000125485/ENSG00000005100/ENSG00000198231/ENSG00000168872/ENSG00000145907/ENSG00000134815/ENSG00000101452/ENSG00000088205/ENSG00000111364/ENSG00000278053/ENSG00000109606/ENSG00000108654/ENSG00000174953/ENSG00000124228/ENSG00000136271/ENSG00000140829/ENSG00000132153/ENSG00000067596/ENSG00000156502/ENSG00000204560/ENSG00000130589/ENSG00000067248/ENSG00000144028/ENSG00000123064"
"GO:0003729","mRNA binding",338,0.366375636571868,1.69869767861171,1.01557223365906e-06,9.52461673424536e-05,6.60503745951195e-05,4872,"tags=35%, list=17%, signal=29%","ENSG00000196843/ENSG00000149658/ENSG00000215301/ENSG00000020577/ENSG00000064703/ENSG00000188613/ENSG00000147679/ENSG00000165732/ENSG00000132361/ENSG00000114391/ENSG00000168066/ENSG00000120705/ENSG00000007392/ENSG00000108349/ENSG00000135870/ENSG00000174606/ENSG00000132819/ENSG00000213079/ENSG00000145388/ENSG00000005100/ENSG00000074356/ENSG00000151014/ENSG00000211460/ENSG00000163938/ENSG00000162775/ENSG00000205937/ENSG00000198492/ENSG00000110321/ENSG00000135316/ENSG00000114503/ENSG00000185728/ENSG00000161970/ENSG00000145425/ENSG00000171863/ENSG00000060138/ENSG00000168872/ENSG00000115677/ENSG00000187742/ENSG00000149532/ENSG00000126653/ENSG00000122068/ENSG00000168488/ENSG00000115524/ENSG00000197381/ENSG00000090621/ENSG00000123908/ENSG00000122406/ENSG00000166831/ENSG00000145907/ENSG00000163877/ENSG00000204348/ENSG00000117569/ENSG00000162231/ENSG00000110713/ENSG00000149187/ENSG00000119314/ENSG00000171490/ENSG00000155506/ENSG00000083845/ENSG00000108654/ENSG00000147604/ENSG00000177483/ENSG00000070756/ENSG00000146963/ENSG00000011304/ENSG00000177613/ENSG00000197728/ENSG00000174953/ENSG00000103067/ENSG00000272886/ENSG00000129245/ENSG00000112531/ENSG00000124571/ENSG00000107929/ENSG00000229117/ENSG00000111605/ENSG00000100441/ENSG00000259956/ENSG00000153944/ENSG00000115875/ENSG00000083896/ENSG00000198585/ENSG00000149273/ENSG00000140988/ENSG00000112081/ENSG00000023734/ENSG00000136942/ENSG00000114867/ENSG00000169057/ENSG00000151923/ENSG00000169714/ENSG00000088247/ENSG00000102921/ENSG00000125445/ENSG00000179151/ENSG00000184708/ENSG00000139675/ENSG00000136527/ENSG00000138095/ENSG00000084072/ENSG00000179134/ENSG00000197111/ENSG00000146676/ENSG00000198576/ENSG00000256453/ENSG00000128016/ENSG00000138593/ENSG00000207864/ENSG00000125977/ENSG00000080608/ENSG00000148584/ENSG00000169062/ENSG00000119707/ENSG00000164587/ENSG00000110700/ENSG00000175324/ENSG00000161960/ENSG00000107164"
"GO:0030971","receptor tyrosine kinase binding",75,0.563413347346848,2.14173046542894,1.11926846411892e-06,9.79732995592096e-05,6.7941559400903e-05,3654,"tags=37%, list=13%, signal=33%","ENSG00000109917/ENSG00000110395/ENSG00000181852/ENSG00000156299/ENSG00000166225/ENSG00000160691/ENSG00000062598/ENSG00000196396/ENSG00000167193/ENSG00000110697/ENSG00000145675/ENSG00000173531/ENSG00000183283/ENSG00000105647/ENSG00000111252/ENSG00000185737/ENSG00000161011/ENSG00000171150/ENSG00000140678/ENSG00000204628/ENSG00000179943/ENSG00000134569/ENSG00000152104/ENSG00000186715/ENSG00000090554/ENSG00000135341/ENSG00000179295/ENSG00000169047"
