"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008017","microtubule binding",271,-0.529611661207482,-2.25046254179574,1e-10,6.565e-08,5.09473684210526e-08,1929,"tags=23%, list=7%, signal=21%","ENSG00000148935/ENSG00000183137/ENSG00000071054/ENSG00000092036/ENSG00000165476/ENSG00000152409/ENSG00000139116/ENSG00000197892/ENSG00000124164/ENSG00000143494/ENSG00000164118/ENSG00000092820/ENSG00000100242/ENSG00000102781/ENSG00000162849/ENSG00000167216/ENSG00000138175/ENSG00000079616/ENSG00000101871/ENSG00000168476/ENSG00000153140/ENSG00000066629/ENSG00000134222/ENSG00000143924/ENSG00000186638/ENSG00000129682/ENSG00000170390/ENSG00000139354/ENSG00000115355/ENSG00000101447/ENSG00000182628/ENSG00000137812/ENSG00000154839/ENSG00000166851/ENSG00000151914/ENSG00000163808/ENSG00000165480/ENSG00000128944/ENSG00000137807/ENSG00000161888/ENSG00000143228/ENSG00000186185/ENSG00000121621/ENSG00000076382/ENSG00000089685/ENSG00000175216/ENSG00000237649/ENSG00000142945/ENSG00000112984/ENSG00000138182/ENSG00000138160/ENSG00000161800/ENSG00000137804/ENSG00000198901/ENSG00000075218/ENSG00000090889/ENSG00000080986/ENSG00000118193/ENSG00000138778/ENSG00000117724/ENSG00000126787"
"GO:0015631","tubulin binding",377,-0.464074996912746,-2.05228969602482,1e-10,6.565e-08,5.09473684210526e-08,3574,"tags=25%, list=12%, signal=23%","ENSG00000188906/ENSG00000160551/ENSG00000104983/ENSG00000077279/ENSG00000146856/ENSG00000166037/ENSG00000188659/ENSG00000077274/ENSG00000174799/ENSG00000125337/ENSG00000137941/ENSG00000084764/ENSG00000158560/ENSG00000086015/ENSG00000102081/ENSG00000114107/ENSG00000139618/ENSG00000143321/ENSG00000072864/ENSG00000047849/ENSG00000148935/ENSG00000102606/ENSG00000183137/ENSG00000071054/ENSG00000179636/ENSG00000092036/ENSG00000165476/ENSG00000152409/ENSG00000127399/ENSG00000139116/ENSG00000108055/ENSG00000197892/ENSG00000124164/ENSG00000151849/ENSG00000066084/ENSG00000012048/ENSG00000143494/ENSG00000139350/ENSG00000164118/ENSG00000135912/ENSG00000092820/ENSG00000100242/ENSG00000102781/ENSG00000162849/ENSG00000167216/ENSG00000138175/ENSG00000079616/ENSG00000101871/ENSG00000168476/ENSG00000153140/ENSG00000066629/ENSG00000134222/ENSG00000292372/ENSG00000143924/ENSG00000186638/ENSG00000141556/ENSG00000129682/ENSG00000170390/ENSG00000182168/ENSG00000011454/ENSG00000139354/ENSG00000117632/ENSG00000122970/ENSG00000115355/ENSG00000101447/ENSG00000182628/ENSG00000137812/ENSG00000154839/ENSG00000166851/ENSG00000151914/ENSG00000163808/ENSG00000165480/ENSG00000128944/ENSG00000137807/ENSG00000161888/ENSG00000143228/ENSG00000186185/ENSG00000121621/ENSG00000076382/ENSG00000089685/ENSG00000175216/ENSG00000237649/ENSG00000142945/ENSG00000112984/ENSG00000138182/ENSG00000138160/ENSG00000161800/ENSG00000137804/ENSG00000198901/ENSG00000075218/ENSG00000090889/ENSG00000080986/ENSG00000118193/ENSG00000138778/ENSG00000117724/ENSG00000126787"
"GO:0003777","microtubule motor activity",64,-0.68697414760331,-2.41120103184657,3.98436850412365e-10,1.74382528197145e-07,1.35328726736551e-07,1627,"tags=30%, list=6%, signal=28%","ENSG00000139116/ENSG00000108055/ENSG00000197892/ENSG00000162849/ENSG00000079616/ENSG00000186638/ENSG00000187240/ENSG00000163808/ENSG00000137807/ENSG00000186185/ENSG00000121621/ENSG00000237649/ENSG00000142945/ENSG00000112984/ENSG00000138182/ENSG00000138160/ENSG00000090889/ENSG00000118193/ENSG00000138778"
"GO:0003735","structural constituent of ribosome",160,0.514953035156782,2.16318749970575,3.09529841083179e-09,8.20986189492999e-07,6.37122404641218e-07,4918,"tags=51%, list=17%, signal=43%","ENSG00000185088/ENSG00000265681/ENSG00000149806/ENSG00000172809/ENSG00000114391/ENSG00000145592/ENSG00000241343/ENSG00000182774/ENSG00000242485/ENSG00000118181/ENSG00000231500/ENSG00000131469/ENSG00000129824/ENSG00000145425/ENSG00000109475/ENSG00000089009/ENSG00000138326/ENSG00000197756/ENSG00000144713/ENSG00000197958/ENSG00000106591/ENSG00000143947/ENSG00000125691/ENSG00000161970/ENSG00000071082/ENSG00000198918/ENSG00000182899/ENSG00000188846/ENSG00000130255/ENSG00000177954/ENSG00000105193/ENSG00000142937/ENSG00000134419/ENSG00000110700/ENSG00000147604/ENSG00000122406/ENSG00000174444/ENSG00000171863/ENSG00000147403/ENSG00000122026/ENSG00000167526/ENSG00000063177/ENSG00000198755/ENSG00000229117/ENSG00000124614/ENSG00000083845/ENSG00000186468/ENSG00000142676/ENSG00000183617/ENSG00000161016/ENSG00000198242/ENSG00000149792/ENSG00000105372/ENSG00000108298/ENSG00000172590/ENSG00000221983/ENSG00000164587/ENSG00000259494/ENSG00000137818/ENSG00000177600/ENSG00000112306/ENSG00000136942/ENSG00000115268/ENSG00000163319/ENSG00000008988/ENSG00000156482/ENSG00000166441/ENSG00000100316/ENSG00000143436/ENSG00000162244/ENSG00000148303/ENSG00000140988/ENSG00000165502/ENSG00000171858/ENSG00000105640/ENSG00000162910/ENSG00000198034/ENSG00000163682/ENSG00000159111/ENSG00000116251/ENSG00000062582/ENSG00000182154"
"GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",424,0.384642594242588,1.80368428237282,3.12637543599771e-09,8.20986189492999e-07,6.37122404641218e-07,3508,"tags=29%, list=12%, signal=26%","ENSG00000181449/ENSG00000167981/ENSG00000159216/ENSG00000110925/ENSG00000179922/ENSG00000145908/ENSG00000115844/ENSG00000105732/ENSG00000221869/ENSG00000125740/ENSG00000153879/ENSG00000075426/ENSG00000110851/ENSG00000204103/ENSG00000197362/ENSG00000120690/ENSG00000267680/ENSG00000244405/ENSG00000175592/ENSG00000166454/ENSG00000101096/ENSG00000107175/ENSG00000167967/ENSG00000179348/ENSG00000087903/ENSG00000166188/ENSG00000182759/ENSG00000213799/ENSG00000128272/ENSG00000267041/ENSG00000205250/ENSG00000134954/ENSG00000142528/ENSG00000179388/ENSG00000184486/ENSG00000163435/ENSG00000083307/ENSG00000137265/ENSG00000129194/ENSG00000090612/ENSG00000130522/ENSG00000062370/ENSG00000181894/ENSG00000169136/ENSG00000189190/ENSG00000175832/ENSG00000102554/ENSG00000116819/ENSG00000278318/ENSG00000005889/ENSG00000126746/ENSG00000115112/ENSG00000125347/ENSG00000197608/ENSG00000137203/ENSG00000172466/ENSG00000144655/ENSG00000173917/ENSG00000256294/ENSG00000197905/ENSG00000116016/ENSG00000182903/ENSG00000138083/ENSG00000131408/ENSG00000087510/ENSG00000172262/ENSG00000043039/ENSG00000108788/ENSG00000068323/ENSG00000111087/ENSG00000171786/ENSG00000125285/ENSG00000177045/ENSG00000117595/ENSG00000007372/ENSG00000121864/ENSG00000064195/ENSG00000134595/ENSG00000180535/ENSG00000185947/ENSG00000082641/ENSG00000089225/ENSG00000174332/ENSG00000175197/ENSG00000198131/ENSG00000158055/ENSG00000105497/ENSG00000107485/ENSG00000125850/ENSG00000155090/ENSG00000127081/ENSG00000165821/ENSG00000188786/ENSG00000170260/ENSG00000173039/ENSG00000169083/ENSG00000107249/ENSG00000102034/ENSG00000131115/ENSG00000134438/ENSG00000158773/ENSG00000118260/ENSG00000153560/ENSG00000168505/ENSG00000292345/ENSG00000186448/ENSG00000167394/ENSG00000123364/ENSG00000177508/ENSG00000125398/ENSG00000180035/ENSG00000137709/ENSG00000213999/ENSG00000105419/ENSG00000116731/ENSG00000185022/ENSG00000166529/ENSG00000123268/ENSG00000163132/ENSG00000162772/ENSG00000077150/ENSG00000170577/ENSG00000183770"
"GO:0001216","DNA-binding transcription activator activity",431,0.38266869916508,1.79761965968308,6.87764405546778e-09,1.5050577741382e-06,1.16799288520926e-06,3508,"tags=29%, list=12%, signal=26%","ENSG00000181449/ENSG00000167981/ENSG00000159216/ENSG00000110925/ENSG00000179922/ENSG00000145908/ENSG00000115844/ENSG00000105732/ENSG00000221869/ENSG00000125740/ENSG00000153879/ENSG00000075426/ENSG00000110851/ENSG00000204103/ENSG00000197362/ENSG00000120690/ENSG00000267680/ENSG00000244405/ENSG00000175592/ENSG00000166454/ENSG00000101096/ENSG00000107175/ENSG00000167967/ENSG00000179348/ENSG00000087903/ENSG00000166188/ENSG00000182759/ENSG00000213799/ENSG00000128272/ENSG00000267041/ENSG00000205250/ENSG00000134954/ENSG00000142528/ENSG00000179388/ENSG00000184486/ENSG00000163435/ENSG00000083307/ENSG00000137265/ENSG00000129194/ENSG00000090612/ENSG00000130522/ENSG00000062370/ENSG00000181894/ENSG00000169136/ENSG00000189190/ENSG00000175832/ENSG00000102554/ENSG00000116819/ENSG00000278318/ENSG00000005889/ENSG00000126746/ENSG00000115112/ENSG00000125347/ENSG00000197608/ENSG00000137203/ENSG00000172466/ENSG00000144655/ENSG00000173917/ENSG00000256294/ENSG00000197905/ENSG00000116016/ENSG00000182903/ENSG00000138083/ENSG00000131408/ENSG00000087510/ENSG00000172262/ENSG00000043039/ENSG00000108788/ENSG00000068323/ENSG00000111087/ENSG00000171786/ENSG00000125285/ENSG00000177045/ENSG00000117595/ENSG00000007372/ENSG00000121864/ENSG00000064195/ENSG00000134595/ENSG00000180535/ENSG00000185947/ENSG00000082641/ENSG00000089225/ENSG00000174332/ENSG00000175197/ENSG00000198131/ENSG00000158055/ENSG00000105497/ENSG00000107485/ENSG00000125850/ENSG00000155090/ENSG00000127081/ENSG00000165821/ENSG00000188786/ENSG00000170260/ENSG00000131061/ENSG00000173039/ENSG00000169083/ENSG00000107249/ENSG00000102034/ENSG00000131115/ENSG00000134438/ENSG00000158773/ENSG00000118260/ENSG00000153560/ENSG00000168505/ENSG00000292345/ENSG00000186448/ENSG00000167394/ENSG00000123364/ENSG00000177508/ENSG00000125398/ENSG00000180035/ENSG00000137709/ENSG00000213999/ENSG00000105419/ENSG00000116731/ENSG00000185022/ENSG00000166529/ENSG00000123268/ENSG00000163132/ENSG00000162772/ENSG00000077150/ENSG00000170577/ENSG00000183770"
"GO:0019843","rRNA binding",64,0.643440949797011,2.3273399488948,1.6781601680987e-08,3.14774900101941e-06,2.44279555296171e-06,5344,"tags=62%, list=19%, signal=51%","ENSG00000182810/ENSG00000117597/ENSG00000126524/ENSG00000099622/ENSG00000147679/ENSG00000145592/ENSG00000179041/ENSG00000242485/ENSG00000128311/ENSG00000231500/ENSG00000129824/ENSG00000177971/ENSG00000197958/ENSG00000125691/ENSG00000136718/ENSG00000110700/ENSG00000122406/ENSG00000135679/ENSG00000165526/ENSG00000083845/ENSG00000142676/ENSG00000130810/ENSG00000161016/ENSG00000198242/ENSG00000177469/ENSG00000113460/ENSG00000165732/ENSG00000163319/ENSG00000215251/ENSG00000117481/ENSG00000273899/ENSG00000198034/ENSG00000104626/ENSG00000163682/ENSG00000182768/ENSG00000117133/ENSG00000105373/ENSG00000149273/ENSG00000142534/ENSG00000170889"
"GO:0140098","catalytic activity, acting on RNA",372,0.36951307085759,1.71572344707,3.71812595510008e-07,6.10237422380801e-05,4.73571832175905e-05,4792,"tags=31%, list=17%, signal=26%","ENSG00000146834/ENSG00000132773/ENSG00000179988/ENSG00000150990/ENSG00000111641/ENSG00000136932/ENSG00000182810/ENSG00000110619/ENSG00000185163/ENSG00000132664/ENSG00000064703/ENSG00000083520/ENSG00000171453/ENSG00000122643/ENSG00000137574/ENSG00000145388/ENSG00000168806/ENSG00000127804/ENSG00000204351/ENSG00000141994/ENSG00000166166/ENSG00000122687/ENSG00000067048/ENSG00000037897/ENSG00000124228/ENSG00000186141/ENSG00000106105/ENSG00000031698/ENSG00000130305/ENSG00000177192/ENSG00000006744/ENSG00000151014/ENSG00000090861/ENSG00000146453/ENSG00000037474/ENSG00000130589/ENSG00000108654/ENSG00000134815/ENSG00000138231/ENSG00000181222/ENSG00000174173/ENSG00000125485/ENSG00000164609/ENSG00000143319/ENSG00000171865/ENSG00000215301/ENSG00000005007/ENSG00000140829/ENSG00000111364/ENSG00000198231/ENSG00000105171/ENSG00000178199/ENSG00000155275/ENSG00000133641/ENSG00000165526/ENSG00000120705/ENSG00000184924/ENSG00000241370/ENSG00000146282/ENSG00000162971/ENSG00000169718/ENSG00000151576/ENSG00000204348/ENSG00000086189/ENSG00000105258/ENSG00000170445/ENSG00000138050/ENSG00000140105/ENSG00000156976/ENSG00000241258/ENSG00000005100/ENSG00000198791/ENSG00000162851/ENSG00000136271/ENSG00000278053/ENSG00000152670/ENSG00000152464/ENSG00000178607/ENSG00000168872/ENSG00000165732/ENSG00000108592/ENSG00000102921/ENSG00000088205/ENSG00000139131/ENSG00000172123/ENSG00000223705/ENSG00000007520/ENSG00000172183/ENSG00000113407/ENSG00000173818/ENSG00000111802/ENSG00000112855/ENSG00000117481/ENSG00000174840/ENSG00000111405/ENSG00000067596/ENSG00000121964/ENSG00000104907/ENSG00000100441/ENSG00000166199/ENSG00000087995/ENSG00000180917/ENSG00000255561/ENSG00000103005/ENSG00000104626/ENSG00000139637/ENSG00000152520/ENSG00000130764/ENSG00000214309/ENSG00000117751/ENSG00000162927/ENSG00000166986/ENSG00000185418/ENSG00000172336/ENSG00000110060"
"GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors",43,-0.653707316326083,-2.14179363977295,3.85678985713481e-06,0.000421997090201501,0.000327488822956711,4171,"tags=56%, list=15%, signal=48%","ENSG00000198610/ENSG00000112294/ENSG00000059573/ENSG00000181192/ENSG00000091140/ENSG00000168291/ENSG00000110435/ENSG00000144908/ENSG00000072042/ENSG00000165092/ENSG00000119711/ENSG00000083123/ENSG00000164904/ENSG00000196139/ENSG00000105953/ENSG00000197444/ENSG00000159423/ENSG00000111275/ENSG00000085662/ENSG00000131828/ENSG00000197894/ENSG00000198099/ENSG00000150768/ENSG00000138356"
"GO:0003774","cytoskeletal motor activity",145,-0.48197324690718,-1.93040404673212,3.73220524829082e-06,0.000421997090201501,0.000327488822956711,1817,"tags=18%, list=6%, signal=17%","ENSG00000159251/ENSG00000139116/ENSG00000108055/ENSG00000197892/ENSG00000197535/ENSG00000162849/ENSG00000079616/ENSG00000084733/ENSG00000135778/ENSG00000186638/ENSG00000095777/ENSG00000133026/ENSG00000187240/ENSG00000163808/ENSG00000137807/ENSG00000186185/ENSG00000121621/ENSG00000237649/ENSG00000142945/ENSG00000112984/ENSG00000197616/ENSG00000138182/ENSG00000138160/ENSG00000090889/ENSG00000118193/ENSG00000138778"
"GO:1901681","sulfur compound binding",245,-0.412187786063911,-1.73525990001168,3.72594315894805e-06,0.000421997090201501,0.000327488822956711,5902,"tags=45%, list=21%, signal=36%","ENSG00000125378/ENSG00000196262/ENSG00000141646/ENSG00000136235/ENSG00000189077/ENSG00000135677/ENSG00000173599/ENSG00000166106/ENSG00000173432/ENSG00000107897/ENSG00000173511/ENSG00000176244/ENSG00000081148/ENSG00000137992/ENSG00000185920/ENSG00000104332/ENSG00000112562/ENSG00000184347/ENSG00000123384/ENSG00000168765/ENSG00000230124/ENSG00000007350/ENSG00000097021/ENSG00000163710/ENSG00000091583/ENSG00000188517/ENSG00000106823/ENSG00000142192/ENSG00000164603/ENSG00000172987/ENSG00000009694/ENSG00000138382/ENSG00000088926/ENSG00000142871/ENSG00000112706/ENSG00000106927/ENSG00000181192/ENSG00000136213/ENSG00000079257/ENSG00000185924/ENSG00000166147/ENSG00000110243/ENSG00000188488/ENSG00000163956/ENSG00000165973/ENSG00000180198/ENSG00000101282/ENSG00000106333/ENSG00000066468/ENSG00000143321/ENSG00000127418/ENSG00000104415/ENSG00000198721/ENSG00000198626/ENSG00000081237/ENSG00000101144/ENSG00000180210/ENSG00000188783/ENSG00000084674/ENSG00000105398/ENSG00000109610/ENSG00000198670/ENSG00000050767/ENSG00000120137/ENSG00000146374/ENSG00000167941/ENSG00000100983/ENSG00000140093/ENSG00000116171/ENSG00000112902/ENSG00000029639/ENSG00000132763/ENSG00000103196/ENSG00000134917/ENSG00000084234/ENSG00000165819/ENSG00000133247/ENSG00000113905/ENSG00000169218/ENSG00000140479/ENSG00000166035/ENSG00000198732/ENSG00000145147/ENSG00000152782/ENSG00000105953/ENSG00000134363/ENSG00000197444/ENSG00000113889/ENSG00000144152/ENSG00000128791/ENSG00000078070/ENSG00000249853/ENSG00000099937/ENSG00000169429/ENSG00000180875/ENSG00000085871/ENSG00000175198/ENSG00000173376/ENSG00000075239/ENSG00000166833/ENSG00000148334/ENSG00000132855/ENSG00000114279/ENSG00000110492/ENSG00000147655/ENSG00000076555/ENSG00000149084/ENSG00000099250/ENSG00000060718/ENSG00000113657"
"GO:0022804","active transmembrane transporter activity",429,-0.366169651962508,-1.64163576112324,3.76899282919749e-06,0.000421997090201501,0.000327488822956711,5449,"tags=34%, list=19%, signal=28%","ENSG00000134294/ENSG00000135940/ENSG00000085563/ENSG00000180773/ENSG00000140990/ENSG00000070214/ENSG00000072041/ENSG00000151229/ENSG00000138459/ENSG00000142494/ENSG00000143882/ENSG00000040531/ENSG00000121361/ENSG00000172139/ENSG00000069431/ENSG00000167792/ENSG00000178741/ENSG00000104635/ENSG00000125648/ENSG00000114544/ENSG00000175782/ENSG00000139540/ENSG00000137968/ENSG00000064651/ENSG00000131174/ENSG00000169021/ENSG00000100075/ENSG00000197375/ENSG00000113504/ENSG00000184076/ENSG00000138075/ENSG00000125454/ENSG00000138821/ENSG00000131269/ENSG00000134955/ENSG00000139508/ENSG00000124568/ENSG00000084453/ENSG00000184983/ENSG00000134538/ENSG00000145494/ENSG00000196660/ENSG00000137700/ENSG00000001626/ENSG00000147804/ENSG00000110911/ENSG00000065923/ENSG00000165029/ENSG00000158864/ENSG00000188338/ENSG00000119013/ENSG00000102743/ENSG00000124786/ENSG00000168575/ENSG00000089057/ENSG00000197506/ENSG00000115902/ENSG00000023228/ENSG00000139180/ENSG00000112337/ENSG00000118596/ENSG00000170906/ENSG00000110436/ENSG00000130821/ENSG00000150403/ENSG00000115194/ENSG00000154122/ENSG00000184752/ENSG00000128609/ENSG00000173638/ENSG00000185883/ENSG00000109390/ENSG00000179091/ENSG00000174326/ENSG00000148942/ENSG00000176340/ENSG00000137571/ENSG00000183032/ENSG00000115840/ENSG00000005471/ENSG00000149742/ENSG00000166347/ENSG00000014824/ENSG00000114770/ENSG00000143921/ENSG00000171365/ENSG00000109572/ENSG00000175567/ENSG00000114573/ENSG00000115286/ENSG00000197150/ENSG00000110955/ENSG00000161281/ENSG00000187486/ENSG00000108528/ENSG00000139209/ENSG00000080493/ENSG00000111700/ENSG00000164038/ENSG00000183023/ENSG00000166136/ENSG00000134917/ENSG00000152779/ENSG00000157087/ENSG00000119421/ENSG00000033867/ENSG00000105409/ENSG00000117528/ENSG00000197496/ENSG00000112992/ENSG00000173208/ENSG00000196950/ENSG00000115665/ENSG00000147100/ENSG00000010256/ENSG00000070961/ENSG00000141338/ENSG00000117834/ENSG00000165240/ENSG00000071967/ENSG00000163399/ENSG00000141485/ENSG00000164889/ENSG00000157765/ENSG00000050438/ENSG00000058668/ENSG00000164638/ENSG00000140199/ENSG00000124406/ENSG00000106688/ENSG00000146409/ENSG00000004864/ENSG00000112394/ENSG00000139370/ENSG00000158715/ENSG00000141526/ENSG00000133065/ENSG00000133657/ENSG00000111371/ENSG00000073464/ENSG00000023839/ENSG00000143153/ENSG00000079215/ENSG00000018625/ENSG00000114923/ENSG00000143324"
"GO:0016887","ATP hydrolysis activity",400,-0.36481243133725,-1.62779252180588,5.40945735700229e-06,0.000546355193057232,0.00042399633373103,4403,"tags=28%, list=15%, signal=24%","ENSG00000187790/ENSG00000068650/ENSG00000111445/ENSG00000073969/ENSG00000138075/ENSG00000079246/ENSG00000131269/ENSG00000100297/ENSG00000158486/ENSG00000085840/ENSG00000249437/ENSG00000132321/ENSG00000112118/ENSG00000291178/ENSG00000001626/ENSG00000108406/ENSG00000155363/ENSG00000064933/ENSG00000124721/ENSG00000072501/ENSG00000155085/ENSG00000165029/ENSG00000196419/ENSG00000104738/ENSG00000153147/ENSG00000039123/ENSG00000165629/ENSG00000047188/ENSG00000125337/ENSG00000163918/ENSG00000165916/ENSG00000119965/ENSG00000127586/ENSG00000152234/ENSG00000035928/ENSG00000175792/ENSG00000134452/ENSG00000071539/ENSG00000051180/ENSG00000138430/ENSG00000076242/ENSG00000070087/ENSG00000178105/ENSG00000119684/ENSG00000102910/ENSG00000005471/ENSG00000114770/ENSG00000143921/ENSG00000166855/ENSG00000171681/ENSG00000183207/ENSG00000123136/ENSG00000114573/ENSG00000197150/ENSG00000110955/ENSG00000186871/ENSG00000145246/ENSG00000139116/ENSG00000108055/ENSG00000197892/ENSG00000085999/ENSG00000160957/ENSG00000157087/ENSG00000105409/ENSG00000117528/ENSG00000102781/ENSG00000073111/ENSG00000167216/ENSG00000136824/ENSG00000079616/ENSG00000173208/ENSG00000135778/ENSG00000176208/ENSG00000113522/ENSG00000085224/ENSG00000070961/ENSG00000135537/ENSG00000141338/ENSG00000165240/ENSG00000163399/ENSG00000051341/ENSG00000138138/ENSG00000058668/ENSG00000095777/ENSG00000197299/ENSG00000136492/ENSG00000124406/ENSG00000138346/ENSG00000058063/ENSG00000100206/ENSG00000101974/ENSG00000124535/ENSG00000166833/ENSG00000170004/ENSG00000187240/ENSG00000133657/ENSG00000102763/ENSG00000156802/ENSG00000023839/ENSG00000163808/ENSG00000137807/ENSG00000186185/ENSG00000113810/ENSG00000121621/ENSG00000018625/ENSG00000182263/ENSG00000237649/ENSG00000142945/ENSG00000112984/ENSG00000138182/ENSG00000140451/ENSG00000118193"
"GO:0019842","vitamin binding",135,-0.481761874023032,-1.90636164101646,7.25558194465299e-06,0.000680469935237813,0.000528075437776248,6070,"tags=42%, list=21%, signal=33%","ENSG00000168216/ENSG00000178445/ENSG00000175309/ENSG00000244005/ENSG00000173599/ENSG00000117385/ENSG00000160282/ENSG00000132437/ENSG00000116984/ENSG00000110811/ENSG00000110195/ENSG00000113492/ENSG00000100596/ENSG00000007350/ENSG00000133116/ENSG00000172482/ENSG00000181192/ENSG00000073067/ENSG00000100003/ENSG00000054277/ENSG00000183044/ENSG00000122884/ENSG00000145321/ENSG00000166224/ENSG00000173638/ENSG00000083444/ENSG00000176974/ENSG00000145730/ENSG00000146085/ENSG00000120137/ENSG00000167775/ENSG00000114115/ENSG00000167720/ENSG00000120053/ENSG00000122873/ENSG00000132763/ENSG00000100994/ENSG00000163631/ENSG00000129521/ENSG00000172296/ENSG00000105953/ENSG00000197444/ENSG00000171097/ENSG00000078070/ENSG00000137561/ENSG00000137868/ENSG00000144644/ENSG00000117791/ENSG00000175198/ENSG00000228716/ENSG00000198099/ENSG00000125166/ENSG00000176890/ENSG00000068976/ENSG00000076555/ENSG00000135766/ENSG00000152952"
"GO:0140416","transcription regulator inhibitor activity",31,0.673515148357392,2.14388234617105,2.67908638639061e-05,0.00234509361688725,0.00181989868212359,2495,"tags=35%, list=9%, signal=32%","ENSG00000186834/ENSG00000132002/ENSG00000167034/ENSG00000100906/ENSG00000147133/ENSG00000163877/ENSG00000204389/ENSG00000145220/ENSG00000117318/ENSG00000175197/ENSG00000079999"
"GO:0008574","plus-end-directed microtubule motor activity",19,-0.781656802411336,-2.14568914002776,4.04302121537684e-05,0.00312263932693517,0.00242330931051689,209,"tags=37%, list=1%, signal=37%","ENSG00000139116/ENSG00000163808/ENSG00000186185/ENSG00000121621/ENSG00000138182/ENSG00000138160/ENSG00000118193"
"GO:0003678","DNA helicase activity",72,-0.539175343603491,-1.93202159521099,3.93884075524081e-05,0.00312263932693517,0.00242330931051689,4978,"tags=47%, list=17%, signal=39%","ENSG00000166508/ENSG00000049541/ENSG00000131778/ENSG00000187790/ENSG00000111445/ENSG00000079246/ENSG00000100297/ENSG00000112118/ENSG00000020922/ENSG00000196419/ENSG00000104738/ENSG00000163918/ENSG00000127586/ENSG00000175792/ENSG00000134452/ENSG00000051180/ENSG00000183207/ENSG00000186871/ENSG00000085999/ENSG00000160957/ENSG00000197275/ENSG00000073111/ENSG00000138658/ENSG00000113522/ENSG00000085224/ENSG00000051341/ENSG00000136982/ENSG00000197299/ENSG00000136492/ENSG00000138346/ENSG00000124535/ENSG00000166833/ENSG00000170004/ENSG00000140451"
"GO:0043995","histone H4K5 acetyltransferase activity",26,0.695739560604514,2.13670885860537,5.62002365101769e-05,0.00361032460930375,0.0028017751407432,4455,"tags=58%, list=15%, signal=49%","ENSG00000071243/ENSG00000096070/ENSG00000156983/ENSG00000147133/ENSG00000172977/ENSG00000125484/ENSG00000100425/ENSG00000122390/ENSG00000043143/ENSG00000005339/ENSG00000137947/ENSG00000077684/ENSG00000108773/ENSG00000163875/ENSG00000160294"
"GO:0043996","histone H4K8 acetyltransferase activity",26,0.695739560604514,2.13670885860537,5.62002365101769e-05,0.00361032460930375,0.0028017751407432,4455,"tags=58%, list=15%, signal=49%","ENSG00000071243/ENSG00000096070/ENSG00000156983/ENSG00000147133/ENSG00000172977/ENSG00000125484/ENSG00000100425/ENSG00000122390/ENSG00000043143/ENSG00000005339/ENSG00000137947/ENSG00000077684/ENSG00000108773/ENSG00000163875/ENSG00000160294"
"GO:0043997","histone H4K12 acetyltransferase activity",26,0.695739560604514,2.13670885860537,5.62002365101769e-05,0.00361032460930375,0.0028017751407432,4455,"tags=58%, list=15%, signal=49%","ENSG00000071243/ENSG00000096070/ENSG00000156983/ENSG00000147133/ENSG00000172977/ENSG00000125484/ENSG00000100425/ENSG00000122390/ENSG00000043143/ENSG00000005339/ENSG00000137947/ENSG00000077684/ENSG00000108773/ENSG00000163875/ENSG00000160294"
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor",39,-0.630426947834665,-2.01500663421742,5.77431963407303e-05,0.00361032460930375,0.0028017751407432,4171,"tags=54%, list=15%, signal=46%","ENSG00000198610/ENSG00000112294/ENSG00000059573/ENSG00000091140/ENSG00000168291/ENSG00000110435/ENSG00000144908/ENSG00000072042/ENSG00000165092/ENSG00000119711/ENSG00000083123/ENSG00000164904/ENSG00000196139/ENSG00000105953/ENSG00000159423/ENSG00000111275/ENSG00000085662/ENSG00000131828/ENSG00000197894/ENSG00000198099/ENSG00000150768"
"GO:0022853","active monoatomic ion transmembrane transporter activity",114,-0.468120795876564,-1.80669702064155,6.85500361194834e-05,0.00409119079204008,0.00317494904132344,6178,"tags=42%, list=21%, signal=33%","ENSG00000017260/ENSG00000047249/ENSG00000177728/ENSG00000116039/ENSG00000099795/ENSG00000135940/ENSG00000140990/ENSG00000143882/ENSG00000121361/ENSG00000069431/ENSG00000167792/ENSG00000178741/ENSG00000131174/ENSG00000169021/ENSG00000184076/ENSG00000184983/ENSG00000145494/ENSG00000158864/ENSG00000119013/ENSG00000023228/ENSG00000139180/ENSG00000170906/ENSG00000184752/ENSG00000128609/ENSG00000185883/ENSG00000109390/ENSG00000179091/ENSG00000176340/ENSG00000166347/ENSG00000114573/ENSG00000115286/ENSG00000110955/ENSG00000161281/ENSG00000187486/ENSG00000166136/ENSG00000157087/ENSG00000119421/ENSG00000105409/ENSG00000112992/ENSG00000010256/ENSG00000070961/ENSG00000165240/ENSG00000163399/ENSG00000058668/ENSG00000124406/ENSG00000133657/ENSG00000143153/ENSG00000018625"
